Designator,Footprint,Quantity,Value,LCSC Part #
10UH,PinHeader_1x02_P2.54mm_Vertical,1,L,
"C1, C2, C3, C4, C5",C_Rect_L33.0mm_W20.0mm_P27.50mm_MKS4,5,2uF,
C6,CP_Radial_D8.0mm_P3.80mm,1,10uF,
C7,CP_Radial_D8.0mm_P3.80mm,1,220uF,
"D1, D3",D_DO-41_SOD81_P12.70mm_Horizontal,2,11DQ10,
D2,D_DO-41_SOD81_P12.70mm_Horizontal,1,D_Zener,
D4,D_DO-41_SOD81_P12.70mm_Horizontal,1,"15V, 0,5W",
D5,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4007,
"HS1, HS2",Heatsink_AAVID_Extruded_531002B02100G_34.9x12.7mm_H25.4mm,2,Heatsink_AAVID_Extruded_531002B02100G_34.9x12.7mm_H25.4mm,
J1,SolderWire-6sqmm_1x02_P14mm_D3.5mm_OD7mm,1,PWR_IN,
"L1, L2",L_Toroid_Vertical_L21.6mm_W8.4mm_P8.38mm_Pulse_G,2,200uH,
"Q1, Q2",TO-220-3_Vertical,2,NMOS,
"Q3, Q4, Q5",TO-92_Inline,3,2N7000,
"R1, R2, R7",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,3,10kR,
"R3, R4",R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,2,150R,
R5,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,47R,
R6,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,100kR,
